name,world_rank,teaching,num_students,student_staff_ratio,international_students,female_percent,year
Harvard University,1,99.7,20152,8.9,25,,2011
California Institute of Technology,2,97.7,2243,6.9,27,33,2011
Massachusetts Institute of Technology,3,97.8,11074,9,33,37,2011
Stanford University,4,98.3,15596,7.8,22,42,2011
Princeton University,5,90.9,7929,8.4,27,45,2011
University of Cambridge,6,90.5,18812,11.8,34,46,2011
University of Oxford,6,88.2,19919,11.6,34,46,2011
"University of California, Berkeley",8,84.2,36186,16.4,15,50,2011
Imperial College London,9,89.2,15060,11.7,51,37,2011
Yale University,10,92.1,11751,4.4,20,50,2011
"University of California, Los Angeles",11,83,38206,10.3,15,52,2011
University of Chicago,12,79.1,14221,6.9,21,42,2011
Johns Hopkins University,13,80.9,15128,3.6,23,50,2011
Cornell University,14,82.2,21424,10.2,19,48,2011
ETH Zurich __ Swiss Federal Institute of Technology Zurich,15,77.5,18178,14.7,37,31,2011
University of Michigan,15,83.9,41786,9,16,48,2011
University of Pennsylvania,19,71.8,20376,6.5,20,51,2011
Carnegie Mellon University,20,70.3,11885,13.1,35,39,2011
University of Hong Kong,21,68.4,19835,17.6,38,53,2011
University College London,22,74,26607,10.7,46,56,2011
University of Washington,23,68.2,44020,11.8,13,53,2011
Duke University,24,66.8,15172,4.8,17,49,2011
Northwestern University,25,64.5,18334,13.8,15,48,2011
Georgia Institute of Technology,27,67.9,19967,20.1,26,31,2011
"University of California, Santa Barbara",29,56.6,22020,27.3,11,52,2011
University of British Columbia,30,65.1,50152,17.6,25,54,2011
University of North Carolina at Chapel Hill,30,70.9,26518,7.3,8,58,2011
"University of California, San Diego",32,59.8,27233,6.5,11,48,2011
University of Illinois at Urbana-Champaign,33,68.1,42727,18.7,20,47,2011
National University of Singapore,34,65.5,31592,15.5,34,49,2011
McGill University,35,69,31326,13.7,23,56,2011
University of Melbourne,36,58.7,40128,23.7,35,55,2011
University of Edinburgh,40,59.9,25774,14.1,36,58,2011
神cole Normale Sup姓rieure,42,66.8,2400,7.9,20,46,2011
Australian National University,43,51.9,14604,19.2,35,52,2011
Karolinska Institute,43,65.8,7774,11.5,22,70,2011
University of G神ttingen,43,57.3,25581,25.6,12,51,2011
Rice University,47,57.4,6333,9,26,44,2011
神cole Polytechnique F姓d姓rale de Lausanne,48,55,9666,10.5,54,27,2011
"University of California, Irvine",49,49.4,26614,16.1,16,52,2011
Vanderbilt University,51,64.9,12161,3.6,10,52,2011
University of Minnesota,52,57.6,46825,18,13,52,2011
Tufts University,53,64.1,10410,10,14,54,2011
"University of California, Davis",54,57.3,35364,13.9,13,54,2011
University of Massachusetts,56,61.3,56959,13,11,49,2011
Tsinghua University,58,74.9,39763,13.7,10,32,2011
Boston University,59,53.6,24789,8.6,17,58,2011
New York University,60,62,42056,6.8,19,55,2011
Emory University,61,63.4,12338,4.5,18,56,2011
LMU Munich,61,59.1,35691,15.5,13,62,2011
University of Notre Dame,63,56.4,11829,13.8,10,44,2011
University of Pittsburgh,64,58.5,26485,5.8,10,51,2011
Case Western Reserve University,65,67.2,9259,6.4,17,48,2011
Ohio State University,66,63.5,51462,13.4,12,49,2011
University of Colorado Boulder,67,46.4,29325,16.1,8,45,2011
University of Bristol,68,49.6,17906,14,25,53,2011
"University of California, Santa Cruz",68,38.3,17404,22.7,1,53,2011
Yeshiva University,68,63.5,6753,5.5,7,53,2011
University of Sydney,71,49.8,41868,20.2,28,57,2011
University of Virginia,72,62,23845,10.2,12,52,2011
University of Adelaide,73,46.5,20771,30.1,26,48,2011
University of Southern California,73,65.4,36534,12.9,20,52,2011
William & Mary,75,53.1,7867,11.8,7,54,2011
Trinity College Dublin,76,47.7,15521,18,25,57,2011
King__s College London,77,48.5,21394,11.4,37,61,2011
Stony Brook University,78,48.5,21908,10.9,24,50,2011
University of Sussex,79,42.4,12001,17.4,35,54,2011
The University of Queensland,81,51.8,34718,32.7,27,53,2011
Heidelberg University,83,59.2,28881,24.5,17,55,2011
University of Utah,83,55.8,25674,16.9,9,45,2011
Durham University,85,39.8,15489,15.7,24,54,2011
University of Manchester,87,56.5,34938,15.3,34,52,2011
"Royal Holloway, University of London",88,37.7,8747,15.9,37,57,2011
University of Southampton,90,50.8,20925,13.5,29,53,2011
University of Zurich,90,56.6,26583,6.5,19,57,2011
Wake Forest University,90,54.6,7326,4.6,5,51,2011
McMaster University,93,44.7,23823,19.3,15,53,2011
George Washington University,95,60.6,20541,12,16,56,2011
University of Arizona,95,52.4,36429,12.7,8,52,2011
University of Basel,95,50.2,12551,17.3,24,54,2011
"University of Maryland, College Park",98,45.4,31331,8.4,9,48,2011
Dartmouth College,99,44.7,6178,6.6,16,47,2011
神cole Normale Sup姓rieure de Lyon,100,51.1,2218,8,14,49,2011
Technical University of Munich,101,50.4,35565,31.5,20,33,2011
University of Helsinki,102,49,23505,15.1,6,66,2011
University of St Andrews,103,44.8,8338,12.7,47,56,2011
Rensselaer Polytechnic Institute,104,50.5,6671,15,16,30,2011
"Rutgers, the State University of New Jersey",105,53.4,37032,17.3,8,51,2011
Purdue University,106,57,39256,18.1,22,42,2011
National Tsing Hua University,107,52.2,10221,13.5,5,33,2011
University of Cape Town,107,36.6,20040,12.1,18,53,2011
Pennsylvania State University,109,46.3,44501,12.4,12,46,2011
Hong Kong Baptist University,111,32.9,10441,11,25,61,2011
National Taiwan University,115,50.3,31891,11.9,7,39,2011
"University of California, Riverside",117,38.6,20626,22,12,51,2011
University of Geneva,118,46.6,15668,15,39,61,2011
KU Leuven,119,57.7,42503,41.9,18,54,2011
Nanjing University,120,52.2,29743,13.3,10,46,2011
Queen Mary University of London,120,39.7,14260,14,40,52,2011
Michigan State University,122,50.4,44750,15.7,15,51,2011
Technical University of Denmark,122,46.2,9990,5,18,27,2011
Ghent University,124,52.8,32166,34.1,9,57,2011
Lancaster University,124,43.5,11512,14.9,33,52,2011
Leiden University,124,47.3,21222,17.1,10,59,2011
University of Alberta,127,53.7,36299,21.6,23,55,2011
University of Glasgow,128,45.6,22616,16,29,57,2011
Stockholm University,129,36.9,31715,23.7,8,62,2011
Osaka University,130,61.7,23144,7.8,9,31,2011
University of Victoria,130,32.9,17581,21.5,11,56,2011
Tohoku University,132,60.3,17200,5,7,25,2011
University of Freiburg,132,52.4,26467,31.2,16,52,2011
University of Iowa,132,48.6,27526,11.6,11,52,2011
University of Bergen,135,39.9,11623,11.1,12,60,2011
University of Sheffield,137,48.9,23311,15.5,31,50,2011
University of Montreal,138,56.1,38264,20.3,25,57,2011
VU University Amsterdam,139,47.6,23280,16.3,6,56,2011
Pierre and Marie Curie University,140,51.9,27862,8.7,18,48,2011
University of Dundee,140,34.1,11628,15.3,25,60,2011
University of Barcelona,142,34.1,47491,12.2,10,62,2011
Utrecht University,143,43.4,30779,15.4,7,59,2011
Wageningen University and Research Center,144,58.5,9248,17,21,56,2011
University of Auckland,145,34.8,29787,18.9,28,54,2011
University of Birmingham,145,50.3,25295,16.4,23,54,2011
Alexandria University,147,29.5,127431,23.3,1,46,2011
Uppsala University,147,49.6,25266,18.2,12,57,2011
Hong Kong Polytechnic University,149,39.4,22064,25.9,26,51,2011
University of Aberdeen,149,37.8,12938,15.8,33,54,2011
Delft University of Technology,151,55.5,15920,19.4,25,26,2011
"Birkbeck, University of London",152,41.2,9454,17.2,38,55,2011
Newcastle University,152,42.7,20174,15.2,29,50,2011
University of New South Wales,152,49.5,38309,25.9,33,47,2011
Pompeu Fabra University,155,35,10901,18.3,13,59,2011
Indiana University,156,48.5,62468,13.6,13,53,2011
Iowa State University,156,49.3,29991,17.4,11,44,2011
Erasmus University Rotterdam,159,39.4,20580,18.9,18,48,2011
University of Delaware,159,38.4,19262,15.9,10,56,2011
Arizona State University,161,43,83236,29.9,9,50,2011
